Date,AUD,CAD,FRF,DEM,ITL,NZD,SEK,GBP,JPY,USD,NOK
1987-04-01,15.23,7.01,,,,,10.18,9.41,,5.54,14.2
1987-04-02,14.88,,,,,,9.95,9.41,,5.51,14.2
1987-04-03,14.88,,,,,,9.76,9.49,,5.5,14.2
1987-04-06,14.83,,,,,,9.51,9.44,,5.47,14.2
1987-04-07,14.95,,,,,,9.73,9.44,,5.51,14.2
1987-04-08,14.78,6.96,,,,,9.83,9.5,,5.5,14.2
1987-04-09,14.85,,,,,,9.82,9.5,,5.75,14.2
1987-04-10,14.85,,,,,,9.62,9.5,,5.85,14.2
1987-04-13,14.88,,,,,,9.6,9.5,,6.02,14.2
1987-04-14,14.85,,,,,,9.65,9.59,,5.92,14.2
1987-04-15,14.55,7.72,,,,,9.57,9.59,,5.68,14.2
1987-04-16,14.4,,,,,,9.37,9.53,,5.56,14.2
1987-04-17,,,,,,,,9.53,,,14.2
1987-04-20,,,,,,,,9.53,,5.54,14.2
1987-04-21,14.38,,,,,,9.29,9.55,,5.5,14.2
1987-04-22,14.2,7.98,,,,,9.2,9.55,,5.42,14.2
1987-04-23,14.1,,,,,,9.21,9.55,,5.49,14.2
1987-04-24,14,,,,,,9.27,9.53,,5.76,14.2
1987-04-27,14.05,,,,,,9.23,9.13,,5.78,14.2
1987-04-28,14.1,,,,,,9.24,9.06,,5.82,14.2
1987-04-29,14,8.03,,,,,9.25,9.03,,5.71,14.2
1987-04-30,14.08,,7.9,3.05,10.23,24.7,9.23,8.94,3.25,5.53,14.2
1987-05-01,14.05,,,,,,,8.78,,5.6,14.2
1987-05-04,13.95,,,,,,9.28,8.78,,5.67,14.2
1987-05-05,13.85,,,,,,9.2,8.69,,5.81,14.2
1987-05-06,13.43,8,,,,,9.2,8.53,,5.5,14.2
1987-05-07,13.2,,,,,,9.2,8.63,,5.53,14.2
1987-05-08,12.98,,,,,,9.28,8.44,,5.53,14.2
1987-05-11,12.9,,,,,,9.29,8.52,,5.65,14.2
1987-05-12,12.75,,,,,,9.3,8.56,,5.6,14.2
1987-05-13,12.24,7.86,,,,,9.29,8.63,,5.53,14.2
1987-05-14,12.05,,,,,,9.3,8.47,,5.73,14.2
1987-05-15,12.05,,,,,,9.33,8.34,,5.95,14.2
1987-05-18,12.25,,,,,,9.38,8.31,,5.87,14.2
1987-05-19,12.43,,,,,,9.34,8.33,,5.78,14.2
1987-05-20,12.86,8.35,,,,,9.39,8.38,,5.69,14.2
1987-05-21,12.75,,,,,,9.32,8.38,,5.53,14.2
1987-05-22,12.75,,,,,,9.28,8.41,,5.55,14.2
1987-05-25,12.88,,,,,,9.26,8.41,,,14.2
1987-05-26,12.85,,,,,,9.25,8.53,,5.61,14.2
1987-05-27,13.01,8.13,,,,,9.23,8.72,,5.76,14.2
1987-05-28,13.08,,,,,,,8.53,,5.63,14.2
1987-05-29,13.13,,,,,,9.17,8.56,,5.68,14.2
1987-05-31,,,8.15,2.97,10.31,20.7,,,3.25,,
1987-06-01,13.13,,,,,,9.23,8.44,,5.7,14.2
1987-06-02,13.05,,,,,,9.26,8.44,,5.76,14.2
1987-06-03,13.1,8.26,,,,,9.2,8.44,,5.69,14.2
1987-06-04,13.03,,,,,,9.15,8.44,,5.66,14.2
1987-06-05,12.88,,,,,,9.18,8.44,,5.68,14.2
1987-06-08,,,,,,,,8.23,,5.66,14.2
1987-06-09,12.6,,,,,,9.12,8.41,,5.51,14.2
1987-06-10,12.47,8.32,,,,,9.05,8.36,,5.48,14.2
1987-06-11,12.48,,,,,,8.89,8.34,,5.54,14.2
1987-06-12,12.3,,,,,,8.86,8.34,,5.55,14.2
1987-06-15,11.9,,,,,,8.85,8.38,,5.65,14.2
1987-06-16,11.95,,,,,,8.89,8.82,,5.63,14.2
1987-06-17,11.55,8.3,,,,,8.83,8.58,,5.65,14.2
1987-06-18,11.45,,,,,,8.81,8.63,,5.65,14.2
1987-06-19,11.73,,,,,,,8.75,,5.66,14.2
1987-06-22,11.85,,,,,,8.81,8.81,,5.66,14.2
1987-06-23,12.05,,,,,,8.53,8.86,,5.72,14.2
1987-06-24,12.23,8.33,,,,,8.45,8.77,,5.83,14.2
1987-06-25,12.38,,,,,,8.44,8.77,,5.84,14.2
1987-06-26,12.45,,,,,,8.45,8.77,,5.78,14.1
1987-06-29,12.25,,,,,,8.46,8.83,,5.67,14.1
1987-06-30,12.13,,8.29,2.95,10.34,18.5,8.57,8.86,3.25,5.73,14.1
1987-07-01,12.21,8.35,,,,,8.55,8.8,,5.64,14.1
1987-07-02,12.13,,,,,,8.53,8.84,,5.66,14.1
1987-07-03,12.13,,,,,,8.53,8.84,,,14.1
1987-07-06,12.03,,,,,,8.53,8.86,,5.67,14.1
1987-07-07,12.03,,,,,,8.55,8.81,,5.6,14.1
1987-07-08,12.23,8.36,,,,,8.62,8.78,,5.57,14.1
1987-07-09,12.1,,,,,,8.75,8.78,,5.61,14.1
1987-07-10,12.15,,,,,,8.75,8.78,,5.59,14.1
1987-07-13,12.03,,,,,,8.75,8.77,,5.61,14.1
1987-07-14,12,,,,,,8.72,8.8,,5.55,14.1
1987-07-15,12.09,8.45,,,,,8.7,8.8,,5.58,14.1
1987-07-16,12.05,,,,,,8.74,8.8,,5.58,14.1
1987-07-17,12.1,,,,,,8.73,8.8,,5.56,14.1
1987-07-20,12.1,,,,,,8.75,8.81,,5.55,14.1
1987-07-21,12,,,,,,8.84,8.84,,5.69,14.1
1987-07-22,11.98,8.45,,,,,8.99,8.84,,5.66,14.1
1987-07-23,11.9,,,,,,8.98,8.88,,5.67,14.1
1987-07-24,11.73,,,,,,8.98,8.91,,5.75,14.1
1987-07-27,11.7,,,,,,8.98,8.91,,5.81,14.1
1987-07-28,11.75,,,,,,8.9,8.88,,5.86,14.1
1987-07-29,12.04,8.94,,,,,8.93,8.86,,5.88,14.1
1987-07-30,12.05,,,,,,8.93,8.84,,6.07,14.1
1987-07-31,12.08,,7.85,2.95,11.21,18.7,8.94,8.94,3.5,6.07,14.1
1987-08-03,12.1,,,,,,9.05,9.2,,6.05,14.1
1987-08-04,12.08,,,,,,8.98,9.06,,5.85,14.1
1987-08-05,12.05,8.91,,,,,8.98,8.97,,5.85,14.1
1987-08-06,11.9,,,,,,9,9.84,,5.74,14.2
1987-08-07,11.8,,,,,,9.03,9.84,,5.85,14.2
1987-08-10,11.83,,,,,,9.2,9.81,,5.91,14.2
1987-08-11,11.7,,,,,,9.18,9.8,,5.94,14.2
1987-08-12,11.38,8.84,,,,,9.28,9.78,,5.95,14.2
1987-08-13,11.43,,,,,,9.2,9.78,,5.96,14.2
1987-08-14,11.2,,,,,,9.19,9.78,,5.96,14.2
1987-08-17,11.18,,,,,,9.12,9.75,,5.98,14.2
1987-08-18,11.18,,,,,,9.24,9.8,,6.02,14.2
1987-08-19,11.53,9,,,,,9.2,9.8,,6.04,14.2
1987-08-20,11.63,,,,,,9.17,9.8,,6.11,14.2
1987-08-21,11.55,,,,,,9.14,9.88,,6.1,14.2
1987-08-24,11.65,,,,,,9.05,9.88,,6.17,14.2
1987-08-25,11.78,,,,,,9,9.88,,6.18,14.2
1987-08-26,11.91,8.98,,,,,9.09,9.91,,6.25,14.2
1987-08-27,11.88,,,,,,9.14,9.88,,6.29,14.1
1987-08-28,11.9,,,,,,9.2,9.88,,6.31,14.1
1987-08-31,11.85,,7.92,3.23,11.15,18.3,9.1,9.88,3.69,6.25,14.1
1987-09-01,11.83,,,,,,9.11,9.91,,6.12,14.2
1987-09-02,11.83,9.06,,,,,9.09,9.91,,6.09,14.2
1987-09-03,11.7,,,,,,9.09,9.84,,6.19,14.2
1987-09-04,11.75,,,,,,9.08,9.84,,6.38,14.2
1987-09-07,11.7,,,,,,9.07,9.78,,,14.2
1987-09-08,11.65,,,,,,9.05,9.78,,6.44,14.2
1987-09-09,11.58,9.14,,,,,9.15,9.78,,6.43,14.2
1987-09-10,11.53,,,,,,9.08,9.84,,6.33,14.2
1987-09-11,11.45,,,,,,9.09,9.84,,6.35,14.2
1987-09-14,11.43,,,,,,9.05,9.77,,6.34,14.2
1987-09-15,11.48,,,,,,9.05,9.78,,6.34,14.2
1987-09-16,10.96,9.19,,,,,9.02,9.77,,6.34,14.2
1987-09-17,11,,,,,,9.03,9.75,,6.38,14.2
1987-09-18,10.98,,,,,,9,9.69,,6.42,14.2
1987-09-21,10.98,,,,,,9,9.58,,6.51,14.2
1987-09-22,10.88,,,,,,8.92,9.75,,6.49,14.2
1987-09-23,10.87,9.29,,,,,8.98,9.63,,6.47,14.2
1987-09-24,10.88,,,,,,8.94,9.72,,6.41,14.2
1987-09-25,10.7,,,,,,8.94,9.78,,6.5,14.2
1987-09-28,10.78,,,,,,8.95,9.73,,6.53,14.2
1987-09-29,10.73,,,,,,8.95,9.75,,6.69,14.2
1987-09-30,11.09,9.39,7.99,3.35,12.07,19.38,9.02,9.81,3.69,6.61,14.2
1987-10-01,11.18,,,,,,9.21,9.81,,6.63,14.2
1987-10-02,11.13,,,,,,9.2,9.75,,6.66,14.2
1987-10-05,11,,,,,,9.19,9.35,,6.68,14.2
1987-10-06,11,,,,,,9.18,9.66,,6.55,14.2
1987-10-07,11.02,9.35,,,,,9.14,9.55,,6.56,14.2
1987-10-08,11,,,,,,9.12,9.81,,6.69,14.2
1987-10-09,11.03,,,,,,9.25,9.81,,6.75,14.2
1987-10-12,11,,,,,,9.3,9.81,,,14.2
1987-10-13,11.08,,,,,,9.27,9.81,,6.74,14.2
1987-10-14,11.22,9.58,,,,,9.29,9.75,,7.19,14.2
1987-10-15,11.23,,,,,,9.29,9.81,,7.07,14.2
1987-10-16,11.4,,,,,,9.28,9.81,,6.93,14.2
1987-10-19,11.5,,,,,,9.35,9.78,,6.39,14.2
1987-10-20,11.5,,,,,,9.3,9.63,,5.86,14.2
1987-10-21,11.92,8.14,,,,,9.28,9.63,,5.6,14.2
1987-10-22,11.65,,,,,,9.25,9.66,,5.36,14.2
1987-10-23,11.43,,,,,,9.15,9.34,,5.29,14.2
1987-10-26,10.18,,,,,,9.12,8.84,,5.22,14.2
1987-10-27,9.95,,,,,,9.15,9.06,,5.23,14.2
1987-10-28,10.47,8.04,,,,,9.14,8.86,,5.1,14.2
1987-10-29,11.5,,,,,,9.12,8.81,,5.03,14.2
1987-10-30,11.38,,,,,,9.27,8.94,,5.27,14.2
1987-10-31,,,8.33,3.77,11.89,18.99,,,3.69,,
1987-11-02,10.75,,,,,,9.63,9.06,,5.62,14.2
1987-11-03,10.7,,,,,,9.58,8.97,,5.63,14.2
1987-11-04,10.47,8.04,,,,,9.4,8.84,,5.54,14.2
1987-11-05,10.53,,,,,,9.35,8.5,,5.58,14.2
1987-11-06,10.35,,,,,,9.35,8.5,,5.73,14.2
1987-11-09,10.4,,,,,,9.45,8.19,,5.7,14.2
1987-11-10,10.5,,,,,,9.37,8.22,,5.67,14.2
1987-11-11,10.45,8.32,,,,,9.3,8.44,,,14.2
1987-11-12,10.33,,,,,,9.25,8.5,,5.83,14.2
1987-11-13,10.33,,,,,,9.28,8.63,,5.91,14.2
1987-11-16,10.38,,,,,,9.3,8.81,,5.87,14.2
1987-11-17,10.2,,,,,,9.28,8.58,,5.88,14.2
1987-11-18,10.25,8.27,,,,,9.37,8.55,,5.77,14.2
1987-11-19,10.28,,,,,,9.35,8.56,,5.66,14.2
1987-11-20,10.23,,,,,,9.25,8.59,,5.72,14.2
1987-11-23,10.3,,,,,,9.19,8.59,,5.78,14.2
1987-11-24,10.28,,,,,,9.15,8.69,,5.77,14.2
1987-11-25,10.34,8.25,,,,,9.16,8.72,,5.7,14.2
1987-11-26,10.25,,,,,,9.16,8.69,,,14.2
1987-11-27,10.23,,,,,,9.17,8.69,,5.63,14.2
1987-11-30,10.15,,8.83,3.28,11.93,16.73,9.19,8.53,3.69,5.21,14.2
1987-12-01,10.15,,,,,,9.25,8.53,,5.55,14.2
1987-12-02,9.83,8.44,,,,,9.21,8.44,,5.49,14.2
1987-12-03,9.85,,,,,,9.14,8.31,,5.36,14.2
1987-12-04,9.83,,,,,,9.17,8.06,,5.43,14.2
1987-12-07,9.88,,,,,,9.22,8.06,,5.82,14.2
1987-12-08,9.73,,,,,,9.23,8.09,,5.86,14.2
1987-12-09,9.79,8.44,,,,,9.19,8.09,,5.83,14.2
1987-12-10,9.75,,,,,,9.18,8.09,,5.92,14.2
1987-12-11,9.78,,,,,,9.14,8.31,,5.86,14.2
1987-12-14,9.73,,,,,,9.16,8.31,,5.85,14.2
1987-12-15,9.7,,,,,,9.14,8.31,,5.93,14.2
1987-12-16,9.57,8.33,,,,,9.13,8.28,,5.94,14.2
1987-12-17,9.5,,,,,,9.06,8.36,,5.93,14.2
1987-12-18,9.45,,,,,,9.02,8.36,,5.87,14.2
1987-12-21,9.58,,,,,,9.05,8.33,,5.87,14.2
1987-12-22,9.5,,,,,,9.04,8.33,,5.93,14.2
1987-12-23,9.58,8.42,,,,,9.03,8.48,,5.78,14.2
1987-12-24,9.6,,,,,,,8.33,,5.74,14.2
1987-12-25,,,,,,,,8.33,,,14.2
1987-12-28,,,,,,,9.02,8.33,,5.7,14.2
1987-12-29,9.8,,,,,,9.05,8.31,,5.84,14.2
1987-12-30,10.06,8.41,,,,,9.03,8.31,,5.71,14.2
1987-12-31,10.05,,8.34,3.15,11.64,16.27,,8.31,3.69,5.68,14.2
1988-01-01,,,,,,,,8.31,,,14.2
1988-01-04,9.83,,,,,,9.09,8.19,,5.88,14.2
1988-01-05,9.98,,,,,,9.05,8.31,,5.93,14.2
1988-01-06,10.07,8.43,,,,,,8.31,,5.84,14.2
1988-01-07,10.03,,,,,,8.99,8.31,,5.78,14.2
1988-01-08,9.95,,,,,,8.98,8.38,,5.87,14.2
1988-01-11,10.13,,,,,,9.01,8.38,,5.69,14.2
1988-01-12,10.05,,,,,,9.03,8.38,,5.81,14.2
1988-01-13,9.9,8.47,,,,,9.16,8.5,,5.79,14.2
1988-01-14,9.9,,,,,,9.17,8.5,,5.88,14.2
1988-01-15,9.9,,,,,,9.24,8.5,,5.88,14.2
1988-01-18,9.8,,,,,,9.18,8.38,,,14.2
1988-01-19,9.8,,,,,,9.2,8.39,,5.96,14.2
1988-01-20,9.75,8.39,,,,,9.22,8.75,,5.81,14.2
1988-01-21,9.78,,,,,,9.2,8.36,,5.82,14.2
1988-01-22,9.78,,,,,,9.2,8.36,,5.81,14.2
1988-01-25,9.85,,,,,,9.2,8.36,,5.83,14.2
1988-01-26,,,,,,,9.2,8.36,,5.82,14.2
1988-01-27,9.92,8.4,,,,,9.26,8.34,,5.74,14.2
1988-01-28,9.9,,,,,,9.22,8.34,,5.68,14.2
1988-01-29,9.88,,,,,,9.19,8.34,,5.64,14.2
1988-01-31,,,8.32,3.15,11.36,16.98,,,3.69,,
1988-02-01,9.9,,,,,,9.33,8.75,,5.66,14.2
1988-02-02,9.9,,,,,,9.34,8.83,,5.71,14.2
1988-02-03,9.96,8.37,,,,,9.3,8.75,,5.71,14.2
1988-02-04,10,,,,,,9.24,8.75,,5.65,14.2
1988-02-05,10.03,,,,,,9.24,8.81,,5.64,14.2
1988-02-08,9.95,,,,,,9.3,9.19,,5.64,14.2
1988-02-09,9.93,,,,,,9.32,8.91,,5.6,14.2
1988-02-10,10.02,8.26,,,,,9.28,8.94,,5.61,14.2
1988-02-11,9.95,,,,,,9.3,8.94,,5.63,14.2
1988-02-12,9.93,,,,,,9.33,8.88,,5.75,14.2
1988-02-15,9.93,,,,,,9.3,8.88,,,14.2
1988-02-16,9.93,,,,,,9.28,8.81,,5.75,14.2
1988-02-17,9.96,8.34,,,,,9.29,8.88,,5.74,14.2
1988-02-18,9.95,,,,,,9.25,8.88,,5.69,14.2
1988-02-19,9.98,,,,,,9.23,8.91,,5.68,14.2
1988-02-22,10.03,,,,,,9.23,8.78,,5.66,14.2
1988-02-23,10.23,,,,,,9.23,8.78,,5.63,14.2
1988-02-24,10.44,8.33,,,,,9.25,8.81,,5.62,14.2
1988-02-25,10.4,,,,,,9.24,8.81,,5.63,14.2
1988-02-26,10.2,,,,,,9.27,8.84,,5.59,14.2
1988-02-29,10.2,,7.56,3.15,10.72,16.98,9.29,8.88,3.41,5.62,14.2
1988-03-01,10.23,,,,,,9.4,8.88,,5.62,14.2
1988-03-02,10.1,8.32,,,,,9.4,8.88,,5.61,14.2
1988-03-03,10.08,,,,,,9.37,8.91,,5.6,14.2
1988-03-04,10,,,,,,9.34,8.91,,5.71,14.2
1988-03-07,10.05,,,,,,9.26,8.81,,5.72,14.2
1988-03-08,10,,,,,,9.32,8.72,,5.74,14.2
1988-03-09,9.98,8.32,,,,,9.3,8.66,,5.73,14.2
1988-03-10,9.98,,,,,,9.29,8.56,,5.75,14.2
1988-03-11,9.98,,,,,,9.32,8.63,,5.73,14.2
1988-03-14,10,,,,,,9.39,8.56,,5.7,14.2
1988-03-15,10,,,,,,9.4,8.44,,5.61,14.2
1988-03-16,9.98,8.41,,,,,9.47,8.69,,5.61,14.2
1988-03-17,10.05,,,,,,9.58,8.34,,5.6,14.2
1988-03-18,10.03,,,,,,9.64,8.19,,5.66,14.2
1988-03-21,10,,,,,,9.62,8.22,,5.74,14.2
1988-03-22,10,,,,,,9.63,8.23,,5.78,14.2
1988-03-23,9.77,8.52,,,,,9.63,8.22,,5.83,14.2
1988-03-24,9.78,,,,,,9.65,8.3,,5.79,14.2
1988-03-25,9.85,,,,,,9.65,8.28,,5.7,14.2
1988-03-28,10.08,,,,,,9.62,8.31,,5.74,14.2
1988-03-29,10.03,,,,,,9.62,8.31,,5.74,14.2
1988-03-30,9.83,8.55,,,,,9.61,8.28,,5.75,14.2
1988-03-31,9.95,,7.9,3.15,10.69,15.12,9.6,8.25,3.26,5.71,14.2
1988-04-01,,,,,,,,8.25,,,14.2
1988-04-04,,,,,,,,8.25,,5.85,14.2
1988-04-05,9.75,,,,,,9.61,8.06,,6,14.2
1988-04-06,9.8,8.61,,,,,9.6,8,,6.05,14.2
1988-04-07,9.8,,,,,,9.59,8.06,,6.05,14.2
1988-04-08,9.8,,,,,,9.56,7.81,,6.02,14.2
1988-04-11,9.78,,,,,,9.55,7.7,,6.04,14.2
1988-04-12,9.7,,,,,,9.63,7.78,,5.93,14.2
1988-04-13,9.66,8.65,,,,,9.62,7.78,,5.86,14.2
1988-04-14,9.73,,,,,,9.63,7.78,,5.74,14.2
1988-04-15,9.98,,,,,,9.63,7.69,,5.88,14.2
1988-04-18,10,,,,,,9.65,7.56,,5.85,14.2
1988-04-19,10.03,,,,,,9.66,7.56,,5.81,14.2
1988-04-20,10.5,8.75,,,,,9.75,7.72,,5.84,14.2
1988-04-21,10.58,,,,,,9.7,7.81,,5.83,14.2
1988-04-22,10.53,,,,,,9.65,7.75,,5.83,14.2
1988-04-25,,,,,,,9.66,7.81,,5.85,14.2
1988-04-26,10.5,,,,,,9.66,7.81,,5.9,14.2
1988-04-27,10.4,8.81,,,,,9.67,7.81,,5.87,14.2
1988-04-28,10.35,,,,,,10.45,7.81,,5.96,14.2
1988-04-29,10.25,,,,,,10.9,7.84,,5.98,14.2
1988-04-30,,,7.93,3.15,10.65,15.12,,,3.26,,
1988-05-02,9.98,,,,,,10.45,7.84,,6.08,14.2
1988-05-03,9.95,,,,,,10.42,7.84,,6.13,14.2
1988-05-04,9.95,8.84,,,,,10.44,7.84,,6.14,14.2
1988-05-05,10,,,,,,10.48,7.89,,6.18,14.2
1988-05-06,9.98,,,,,,10.5,7.89,,6.29,14.2
1988-05-09,10,,,,,,10.46,7.78,,6.31,14.2
1988-05-10,10.08,,,,,,10.63,7.75,,6.34,14.2
1988-05-11,10.37,8.87,,,,,10.62,7.81,,6.26,14.2
1988-05-12,10.5,,,,,,,7.81,,6.21,14.2
1988-05-13,10.53,,,,,,10.58,7.81,,6.18,14.2
1988-05-16,10.8,,,,,,10.52,7.81,,6.2,14.2
1988-05-17,10.7,,,,,,10.45,7.31,,6.3,14.2
1988-05-18,10.96,8.85,,,,,10.42,7.25,,6.21,14.2
1988-05-19,11,,,,,,10.5,7.16,,6.15,14.2
1988-05-20,11.13,,,,,,10.46,7.19,,6.24,14.2
1988-05-23,11.55,,,,,,,7,,6.25,14.2
1988-05-24,11.65,,,,,,10.42,7.03,,6.31,14.2
1988-05-25,11.6,8.89,,,,,10.44,7.13,,6.33,14.2
1988-05-26,11.58,,,,,,10.45,7.13,,6.42,14.2
1988-05-27,11.83,,,,,,10.33,7.13,,6.44,14.2
1988-05-30,11.63,,,,,,10.25,7.13,,,14.2
1988-05-31,11.83,,7.81,3.15,10.7,14.63,10.28,7.13,3.26,6.43,14.2
1988-06-01,11.92,9.13,,,,,10.27,7.38,,6.47,13.7
1988-06-02,11.88,,,,,,10.3,7.88,,6.44,13.7
1988-06-03,11.9,,,,,,10.26,8.31,,6.46,13.7
1988-06-06,11.85,,,,,,10.23,8.38,,6.46,13.7
1988-06-07,11.75,,,,,,10.29,8.31,,6.43,13.7
1988-06-08,11.66,9.22,,,,,10.28,8.13,,6.39,13.7
1988-06-09,11.4,,,,,,10.26,8.13,,6.44,13.7
1988-06-10,11.28,,,,,,10.29,8.13,,6.45,13.15
1988-06-13,,,,,,,10.27,8.06,,6.44,13.15
1988-06-14,11.23,,,,,,10.26,8.13,,6.35,13.15
1988-06-15,11.24,9.17,,,,,10.3,8.31,,6.34,13.15
1988-06-16,11.5,,,,,,10.35,8.31,,6.29,13.15
1988-06-17,11,,,,,,10.33,8.75,,6.37,13.15
1988-06-20,11,,,,,,10.34,8.81,,6.37,13.15
1988-06-21,11.15,,,,,,10.31,8.81,,6.56,13.15
1988-06-22,11.32,9.16,,,,,10.25,8.75,,6.52,13.15
1988-06-23,11.33,,,,,,10.26,8.75,,6.52,13.05
1988-06-24,11.35,,,,,,,8.88,,6.51,13.05
1988-06-27,11.33,,,,,,10.26,9.19,,6.56,13.05
1988-06-28,11.23,,,,,,10.32,9.38,,6.6,13.05
1988-06-29,11.31,9.19,,,,,10.34,9.31,,6.58,13.05
1988-06-30,11.28,,7.36,3.15,10.55,14.63,10.35,9.25,3.26,6.56,13.05
1988-07-01,11.25,,,,,,10.34,9.5,,6.55,13.05
1988-07-04,11.23,,,,,,10.33,9.75,,,13.05
1988-07-05,11.33,,,,,,10.32,9.63,,6.56,13.05
1988-07-06,11.48,9.17,,,,,10.32,9.63,,6.53,13.05
1988-07-07,11.63,,,,,,10.33,9.69,,6.55,13.05
1988-07-08,11.78,,,,,,10.32,9.78,,6.66,13.05
1988-07-11,11.68,,,,,,10.34,9.81,,6.61,13.05
1988-07-12,11.58,,,,,,10.37,9.81,,6.73,13.05
1988-07-13,11.67,9.26,,,,,10.38,9.81,,6.72,13.05
1988-07-14,11.7,,,,,,10.39,9.81,,6.73,13.05
1988-07-15,11.7,,,,,,10.39,9.88,,6.72,13.05
1988-07-18,11.65,,,,,,10.39,10.56,,6.66,13.05
1988-07-19,11.78,,,,,,10.42,10.38,,6.69,13.05
1988-07-20,11.97,9.26,,,,,10.4,10.63,,6.71,13.05
1988-07-21,12,,,,,,10.43,10.31,,6.78,13.05
1988-07-22,12.03,,,,,,10.45,10.38,,6.74,13.05
1988-07-25,12.13,,,,,,10.43,10.25,,6.8,13.05
1988-07-26,12.15,,,,,,10.44,10.25,,6.89,13.05
1988-07-27,12.1,9.3,,,,,10.44,10.44,,7,13.05
1988-07-28,12.1,,,,,,10.46,10.25,,6.99,13.05
1988-07-29,12.13,,,,,,10.47,10.31,,6.95,13.05
1988-07-31,,,7.31,3.15,11.48,14.63,,,3.26,,
1988-08-01,12.18,,,,,,10.5,10.31,,6.91,13.05
1988-08-02,12.08,,,,,,10.65,10.31,,6.9,13.05
1988-08-03,12.03,9.26,,,,,10.65,10.31,,6.9,13.05
1988-08-04,12.03,,,,,,10.65,10.31,,6.84,13.05
1988-08-05,12,,,,,,10.6,10.31,,6.92,13.05
1988-08-08,12.03,,,,,,10.68,10.75,,6.84,13.05
1988-08-09,12.08,,,,,,10.65,10.63,,7.06,13.05
1988-08-10,12.22,9.49,,,,,10.7,10.75,,6.99,13.05
1988-08-11,12.3,,,,,,10.72,10.75,,7.01,13.05
1988-08-12,12.33,,,,,,10.67,10.75,,7.01,13.05
1988-08-15,12.4,,,,,,10.68,10.75,,6.99,13.05
1988-08-16,12.5,,,,,,10.69,11,,7.06,13.05
1988-08-17,12.31,9.55,,,,,10.63,11.06,,7.03,13.05
1988-08-18,12.38,,,,,,10.63,11.06,,7.02,13.05
1988-08-19,12.4,,,,,,10.6,10.88,,7.06,13.05
1988-08-22,12.35,,,,,,10.6,10.75,,7.06,13.05
1988-08-23,12.38,,,,,,10.65,10.88,,7.16,13.05
1988-08-24,12.68,9.64,,,,,10.65,11.03,,7.18,13.05
1988-08-25,12.55,,,,,,10.65,11.5,,7.25,13.05
1988-08-26,12.6,,,,,,10.68,11.69,,7.33,13.05
1988-08-29,12.55,,,,,,10.56,11.69,,7.32,13.1
1988-08-30,12.7,,,,,,10.52,11.69,,7.3,13.1
1988-08-31,12.77,9.89,7.6,4.33,11.49,13.96,10.48,11.69,4.1,7.3,13.1
1988-09-01,12.83,,,,,,10.54,11.69,,7.28,13.1
1988-09-02,12.88,,,,,,10.51,11.75,,7.22,13.1
1988-09-05,12.78,,,,,,10.51,11.81,,,13.1
1988-09-06,12.8,,,,,,10.48,11.75,,7.26,13.1
1988-09-07,12.75,10.03,,,,,10.42,11.63,,7.33,13.1
1988-09-08,12.73,,,,,,10.44,11.63,,7.32,13.1
1988-09-09,12.7,,,,,,10.44,11.63,,7.28,13.1
1988-09-12,12.78,,,,,,10.41,11.63,,7.23,13.1
1988-09-13,12.8,,,,,,10.43,11.63,,7.17,13.1
1988-09-14,12.86,10.27,,,,,10.44,11.66,,7.16,13.1
1988-09-15,12.85,,,,,,10.45,11.63,,7.17,13.1
1988-09-16,12.9,,,,,,10.49,11.63,,7.15,13.1
1988-09-19,12.9,,,,,,10.42,11.63,,7.13,13.1
1988-09-20,12.98,,,,,,10.39,11.63,,7.2,13.1
1988-09-21,13.11,10.28,,,,,10.38,11.63,,7.19,13.1
1988-09-22,13.25,,,,,,10.38,11.63,,7.2,13.1
1988-09-23,13.23,,,,,,10.42,11.69,,7.23,13.1
1988-09-26,13.25,,,,,,10.45,11.63,,7.3,13.1
1988-09-27,13.23,,,,,,10.49,11.63,,7.33,13.1
1988-09-28,13.68,10.33,,,,,10.49,11.56,,7.34,13.1
1988-09-29,13.73,,,,,,10.48,11.56,,7.29,13.1
1988-09-30,13.75,,7.86,4.41,11.1,13.69,10.48,11.56,4.58,7.25,13.1
1988-10-03,13.73,,,,,,10.5,11.63,,7.24,13.1
1988-10-04,13.7,,,,,,10.5,11.66,,7.23,13.1
1988-10-05,13.78,10.32,,,,,10.58,11.66,,7.22,13.1
1988-10-06,13.7,,,,,,10.55,11.63,,7.3,13.1
1988-10-07,13.73,,,,,,10.52,11.63,,7.27,13.1
1988-10-10,13.73,,,,,,10.51,11.66,,,13.1
1988-10-11,13.7,,,,,,10.5,11.53,,7.29,13.1
1988-10-12,13.72,10.32,,,,,10.49,11.5,,7.28,13.1
1988-10-13,13.7,,,,,,10.52,11.5,,7.34,13.1
1988-10-14,13.7,,,,,,10.52,11.56,,7.32,13.1
1988-10-17,13.7,,,,,,10.52,11.5,,7.33,13.1
1988-10-18,13.73,,,,,,10.54,11.55,,7.36,13.1
1988-10-19,13.68,10.27,,,,,10.54,11.53,,7.43,13.1
1988-10-20,13.63,,,,,,10.55,11.53,,7.45,13.1
1988-10-21,13.65,,,,,,10.58,11.56,,7.44,13.1
1988-10-24,13.68,,,,,,10.58,11.63,,7.51,12.7
1988-10-25,13.73,,,,,,10.58,11.64,,7.44,12.7
