Date,AUD,CAD,FRF,DEM,ITL,NZD,SEK,GBP,JPY,USD,NOK
1970-07-17,,,,,,,,,,6.4,
1970-07-20,,,,,,,,,,6.37,
1970-07-21,,,,,,,,,,6.38,
1970-07-22,,5.77,,,,,,,,6.35,
1970-07-23,,,,,,,,,,6.28,
1970-07-24,,,,,,,,,,6.32,
1970-07-27,,,,,,,,,,6.34,
1970-07-28,,,,,,,,,,6.38,
1970-07-29,,5.67,,,,,,,,6.38,
1970-07-30,,,,,,,,,5.93,6.39,
1970-07-31,5.41,,9.1,6.75,6.95,,8.5,6.85,,6.38,3
1970-08-03,,,,,,,,,,6.4,
1970-08-04,,,,,,,,,,6.46,
1970-08-05,,5.73,,,,,,,,6.5,
1970-08-06,,,,,,,,,,6.49,
1970-08-07,,,,,,,,,,6.47,
1970-08-10,,,,,,,,,,6.48,
1970-08-11,,,,,,,,,,6.54,
1970-08-12,,5.76,,,,,,,,6.55,
1970-08-13,,,,,,,,,,6.53,
1970-08-14,,,,,,,,,,6.54,
1970-08-17,,,,,,,,,,6.53,
1970-08-18,,,,,,,,,,6.47,
1970-08-19,,5.7,,,,,,,,6.41,
1970-08-20,,,,,,,,,,6.38,
1970-08-21,,,,,,,,,,6.29,
1970-08-24,,,,,,,,,,6.23,
1970-08-25,,,,,,,,,,6.23,
1970-08-26,,5.61,,,,,,,,6.25,
1970-08-27,,,,,,,,,,6.27,
1970-08-28,,,,,,,,,,6.28,
1970-08-30,,,,,,,,,5.93,,
1970-08-31,5.65,,8.64,6.75,6.95,,8.5,6.82,,6.33,3
1970-09-01,,,,,,,,,,6.39,
1970-09-02,,5.53,,,,,,,,6.4,
1970-09-03,,,,,,,,,,6.39,
1970-09-04,,,,,,,,,,6.32,
1970-09-08,,,,,,,,,,6.38,
1970-09-09,,5.54,,,,,,,,6.4,
1970-09-10,,,,,,,,,,6.41,
1970-09-11,,,,,,,,,,6.39,
1970-09-14,,,,,,,,,,6.33,
1970-09-15,,,,,,,,,,6.32,
1970-09-16,,5.5,,,,,,,,6.2,
1970-09-17,,,,,,,,,,6.15,
1970-09-18,,,,,,,,,,6.08,
1970-09-21,,,,,,,,,,5.96,
1970-09-22,,,,,,,,,,5.74,
1970-09-23,,5.42,,,,,,,,5.71,
1970-09-24,,,,,,,,,,5.76,
1970-09-25,,,,,,,,,,5.82,
1970-09-28,,,,,,,,,,5.81,
1970-09-29,,,,,,,,,5.93,5.82,
1970-09-30,5.65,5.43,8.28,6.75,6.95,,8.25,6.82,,5.84,3
1970-10-01,,,,,,,,,,5.86,
1970-10-02,,,,,,,,,,5.86,
1970-10-05,,,,,,,,,,5.9,
1970-10-06,,,,,,,,,,6.05,
1970-10-07,,5.41,,,,,,,,6.06,
1970-10-08,,,,,,,,,,6.07,
1970-10-09,,,,,,,,,,6.05,
1970-10-13,,,,,,,,,,6.01,
1970-10-14,,5.39,,,,,,,,5.96,
1970-10-15,,,,,,,,,,5.91,
1970-10-16,,,,,,,,,,5.93,
1970-10-19,,,,,,,,,,5.94,
1970-10-20,,,,,,,,,,5.86,
1970-10-21,,5.34,,,,,,,,5.82,
1970-10-22,,,,,,,,,,5.78,
1970-10-23,,,,,,,,,,5.76,
1970-10-26,,,,,,,,,,5.8,
1970-10-27,,,,,,,,,,5.85,
